Node,Weighted Load (%),Weighted Network Load (%),Weighted Tasks Load (pieces),Work time (%),Total Calculated Tasks
1,26.6667,2.6667,13.3333,32,1600
2,26.6667,2.6667,13.3333,32,1600
3,26.6667,2.6667,13.3333,32,1600
4,26.6667,2.6667,13.3333,32,1600
5,21.8579,2.6667,13.3333,26,1600
6,21.8579,2.6667,13.3333,26,1600
7,21.8579,2.6667,13.3333,26,1600
8,21.8579,2.6667,13.3333,26,1600
9,21.8579,2.6667,13.3333,26,1600
10,21.8579,2.6667,13.3333,26,1600
11,21.8579,2.6667,13.3333,26,1600
12,12.1212,2.6667,13.3333,15,1600
