Node,Weighted Load (%),Weighted Network Load (%),Weighted Tasks Load (pieces),Work time (%),Total Calculated Tasks
1,91.9167,49.9792,11.8583,110,1423
2,91.9167,49.9792,11.8583,110,1423
3,92.0667,50.0208,11.8583,110,1423
4,92.0667,50.0208,11.8583,110,1423
5,90.8607,59.1875,13.7583,109,1651
6,90.847,59.1667,13.75,109,1650
7,90.9153,59.2083,13.7583,109,1651
8,90.8607,59.1875,13.7583,109,1651
9,90.9153,59.2083,13.7583,109,1651
10,90.806,59.1667,13.7583,109,1651
11,90.8333,59.1458,13.7417,109,1649
12,81.8182,98.5625,23.5667,98,2828
